Epoch	EpRet	EpLen	EpCostRet	EpCost	EpMaxCost	CumulativeCost	CostRate	VVals	TotalEnvInteracts	LossPi	LossV	LossCost	DeltaLossPi	DeltaLossV	DeltaLossCost	Entropy	KL	Time
60	2.585673	120.935486	0.0	0.04032258	0.012096774	2231.0	0.0012191256830601093	1.2410725	1830000	0.0	0.023742432	2.3072765e-07	-0.002301864	-0.0107938945	-0.122309506	0.7366865	0.012453851	8983.383870124817
61	2.5319514	118.38492	3.2836628e-14	0.027777778	0.011904762	2238.0	0.001203225806451613	1.2258091	1860000	-1.0172526e-08	0.023123791	1.8543669e-07	-0.0019095623	-0.008428816	-0.12421318	0.73108	0.0177672	9188.557462453842
62	2.5105183	117.58431	1.467833e-13	0.023529412	0.007843138	2244.0	0.0011873015873015873	1.213224	1890000	4.0690105e-09	0.01983804	-1.9447478e-07	-0.010308274	-0.008383579	-0.12953685	0.7274058	0.013799992	9395.70359635353
63	2.591492	133.27556	0.0	0.075555556	0.017777778	2261.0	0.0011776041666666666	1.1679354	1920000	1.0172526e-08	0.10247264	3.390842e-08	-0.008608107	-0.07029966	-0.13537647	0.71576184	0.016353063	9585.670100927353
64	2.4879363	109.149635	6.1189112e-31	0.00729927	0.003649635	2263.0	0.0011605128205128205	1.2317783	1950000	-8.138021e-09	0.015034878	8.3533514e-08	-0.0064626765	-0.005776301	-0.116178006	0.71061	0.012138006	9802.273921489716
65	2.5038817	111.81716	9.465945e-14	0.08208955	0.01119403	2285.0	0.001154040404040404	1.2316206	1980000	5.086263e-09	0.014564241	-3.9143348e-08	0.00031804809	-0.005477098	-0.10039503	0.7028119	0.014725071	10024.331732034683
66	2.5750246	118.158104	4.452094e-27	0.015810277	0.007905139	2289.0	0.0011388059701492538	1.2403672	2010000	-2.0345052e-09	0.04395372	-7.538928e-09	-0.001697692	-0.025258822	-0.10863112	0.69861424	0.011631618	10185.776765584946
67	2.5628495	114.70385	0.0	0.0	0.0	2289.0	0.0011220588235294118	1.2482853	2040000	-5.086263e-10	0.01837118	0.0	-0.010862715	-0.008947151	-0.16370955	0.69593966	0.017764391	10343.658878326416
68	2.555211	122.45492	0.0	0.028688524	0.012295082	2296.0	0.0011091787439613528	1.2221081	2070000	1.0172526e-09	0.090313286	4.6902013e-08	-0.0066682566	-0.06248916	-0.17056094	0.6929233	0.01697017	10522.182968854904
69	2.541012	115.567566	1.0796137e-10	0.019305019	0.011583012	2301.0	0.0010957142857142858	1.192098	2100000	-7.1207684e-09	0.123291634	2.3565697e-07	-0.018274195	-0.078145854	-1.2800643	0.686009	0.012755513	10713.847445249557
70	2.5403018	119.712	2.3112008e-26	0.024	0.012	2307.0	0.0010830985915492959	1.2199687	2130000	-6.612142e-09	0.10480241	5.3405763e-08	-0.006221939	-0.07394472	-0.13699122	0.68914	0.011426607	10894.03841662407
71	2.4922433	113.40151	0.0	0.022727273	0.011363637	2313.0	0.0010708333333333334	1.1896365	2160000	7.629395e-10	0.058032505	-2.8899223e-08	0.002442963	-0.039715543	-0.14341645	0.6903789	0.017635318	11105.57139968872
72	2.6481574	127.98718	2.76e-43	0.042735044	0.017094018	2323.0	0.0010607305936073059	1.2324619	2190000	1.4750163e-08	0.05737324	-1.2226595e-08	-0.002965098	-0.03644927	-0.19219606	0.6833673	0.018770626	11299.876550197601
73	2.4997075	130.39131	3.690099e-24	0.017391304	0.008695652	2327.0	0.0010481981981981983	1.1780221	2220000	-7.1207684e-09	0.32669	3.814697e-07	-0.0075272336	-0.2407228	-0.12264906	0.6855585	0.013436043	11474.40427660942
74	2.6021147	123.41152	0.0	0.024691358	0.012345679	2333.0	0.0010368888888888888	1.1842297	2250000	-1.5004476e-08	0.058380302	9.811464e-09	-0.0058801393	-0.033547685	-0.12376877	0.68133104	0.012110336	11672.97916674614
75	2.5644007	114.877396	6.75535e-40	0.03448276	0.007662835	2342.0	0.0010271929824561404	1.237795	2280000	1.0172526e-09	0.049373716	-2.996218e-07	-0.00845409	-0.029804474	-0.1346322	0.6728068	0.01766206	11917.416112184525
76	2.509405	114.42367	9.616878e-31	0.045801528	0.022900764	2354.0	0.001019047619047619	1.2244606	2310000	-2.2379558e-08	0.07057205	-4.367974e-08	-0.009650076	-0.045571245	-0.14621691	0.66502565	0.018197713	12157.639303684235
77	2.5625703	120.46371	0.00014691113	0.04032258	0.012096774	2364.0	0.0010102564102564102	1.179549	2340000	3.051758e-09	0.11417107	-8.0754674e-08	-0.01411897	-0.047409624	-0.114027336	0.6668669	0.017536782	12424.137489557266
